iso3,year,commbank_lend,debtserv_exp_pct,ppg_debtserv,extdebt_lt,extdebt_png,extdebt_ppg,ifc_png,nfl_ibrd,nfl_ida,nfl_imf_conc,nfl_imf_nonconc,nfl_rdb_nonconc,nfl_multilat,nfl_other,nfl_png,ppg_offcr,ppg_debtserv_exp_pct,std_exp_pct,std_extdebt_pct,std_res_pct,totdebtserv_exp_pct
ASM,1991,,,,,,,,,,,,,,,,,,,,,
ASM,1992,,,,,,,,,,,,,,,,,,,,,
ASM,1993,,,,,,,,,,,,,,,,,,,,,
ASM,1994,,,,,,,,,,,,,,,,,,,,,
ASM,1995,,,,,,,,,,,,,,,,,,,,,
ASM,1996,,,,,,,,,,,,,,,,,,,,,
ASM,1997,,,,,,,,,,,,,,,,,,,,,
ASM,1998,,,,,,,,,,,,,,,,,,,,,
ASM,1999,,,,,,,,,,,,,,,,,,,,,
ASM,2000,,,,,,,,,,,,,,,,,,,,,
ASM,2001,,,,,,,,,,,,,,,,,,,,,
ASM,2002,,,,,,,,,,,,,,,,,,,,,
ASM,2003,,,,,,,,,,,,,,,,,,,,,
ASM,2004,,,,,,,,,,,,,,,,,,,,,
ASM,2005,,,,,,,,,,,,,,,,,,,,,
ASM,2006,,,,,,,,,,,,,,,,,,,,,
ASM,2007,,,,,,,,,,,,,,,,,,,,,
ASM,2008,,,,,,,,,,,,,,,,,,,,,
ASM,2009,,,,,,,,,,,,,,,,,,,,,
ASM,2010,,,,,,,,,,,,,,,,,,,,,
ASM,2011,,,,,,,,,,,,,,,,,,,,,
ASM,2012,,,,,,,,,,,,,,,,,,,,,
ASM,2013,,,,,,,,,,,,,,,,,,,,,
ASM,2014,,,,,,,,,,,,,,,,,,,,,
ASM,2015,,,,,,,,,,,,,,,,,,,,,
ASM,2016,,,,,,,,,,,,,,,,,,,,,
ASM,2017,,,,,,,,,,,,,,,,,,,,,
ASM,2018,,,,,,,,,,,,,,,,,,,,,
ASM,2019,,,,,,,,,,,,,,,,,,,,,
ASM,2020,,,,,,,,,,,,,,,,,,,,,
ASM,2021,,,,,,,,,,,,,,,,,,,,,
ASM,2022,,,,,,,,,,,,,,,,,,,,,
ASM,2023,,,,,,,,,,,,,,,,,,,,,
ASM,2024,,,,,,,,,,,,,,,,,,,,,
ATG,1960,,,,,,,,,,,,,,,,,,,,,
